T [C],UTS [MPa] W Plate (H),UTS [MPa] K-W Plate (H),UTS [MPa] W3%Re Plate (H),UTS [MPa] K-W3%Re Plate (H),UTS [MPa] W3%Re Plate (L),UTS [MPa] K-W3%Re Plate (L),UTS [MPa] W3%Re-1%La2O3 Plate (L),UE [%] W Plate (H),UE [%] K-W Plate (H),UE [%] W3%Re Plate (H),UE [%] K-W3%Re Plate (H),UE [%] W3%Re Plate (L),UE [%] K-W3%Re Plate (L),UE [%] W3%Re-1%La2O3 Plate (L),TE [%] W Plate (H),TE [%] K-W Plate (H),TE [%] W3%Re Plate (H),TE [%] W3%Re Plate (L),TE [%] K-W3%Re Plate (L),TE [%] K-W3%Re Plate (H),TE [%] W3%Re-1%La2O3 Plate (L)
20.0,858.1196581196581,1439.3162393162393,1076.923076923077,1223.931623931624,984.6153846153844,1162.3931623931624,1094.017094017094,,0.6704980842911894,0.1340996168582364,13.74521072796935,-0.268714011516316,0.4030710172744705,0.3358925143953968,,0.969976905311782,-0.1385681293302525,-0.1385681293302525,10.946882217090064,19.122401847575052,0.4157043879907576
100.0,899.1452991452991,1162.3931623931624,964.102564102564,1100.8547008547007,916.2393162393162,967.5213675213674,994.8717948717948,-0.0670498084291182,0.7375478927203076,7.107279693486593,6.772030651340998,4.232245681381958,10.748560460652593,9.4721689059501,0.0,15.103926096997682,,3.741339491916861,14.549653579676672,6.651270207852193,14.27251732101616
200.0,758.9743589743589,888.8888888888888,810.2564102564102,851.2820512820512,868.3760683760684,830.7692307692307,875.2136752136752,2.6149425287356323,1.0057471264367877,11.063218390804597,10.258620689655174,11.01727447216891,13.704414587332057,7.255278310940501,17.32101616628175,18.706697459584294,22.44803695150116,21.478060046189377,19.260969976905308,14.549653579676672,12.193995381062358
300.0,635.8974358974358,782.9059829059828,738.4615384615383,851.2820512820512,827.3504273504274,793.1623931623932,823.9316239316238,4.760536398467437,0.6704980842911894,9.454022988505749,8.649425287356323,7.120921305182346,11.01727447216891,6.113243761996166,22.170900692840647,21.89376443418013,23.83371824480369,20.508083140877595,,21.616628175519622,13.71824480369515
400.0,547.0085470085469,683.7606837606838,676.9230769230769,837.6068376068375,,,752.1367521367521,,3.5536398467432946,8.314176245210728,4.626436781609197,,,5.978886756238005,14.27251732101616,16.48960739030023,17.04387990762124,,20.23094688221709,15.103926096997682,13.02540415704388
500.0,574.3589743589744,635.8974358974358,652.9914529914531,758.9743589743589,704.2735042735042,690.5982905982905,731.6239316239315,1.6091954022988515,3.620689655172413,6.637931034482758,5.7662835249042175,5.17274472168906,9.203454894433786,3.4261036468330204,13.02540415704388,10.946882217090064,,15.658198614318708,,16.905311778290994,11.224018475750576
600.0,543.5897435897434,611.9658119658118,581.1965811965811,707.6923076923076,,,,,0.6704980842911894,4.559386973180079,3.0172413793103487,,,,10.808314087759811,12.193995381062358,16.905311778290994,,13.02540415704388,11.916859122401846,
700.0,509.4017094017093,594.8717948717949,574.3589743589744,721.3675213675214,622.2222222222222,611.9658119658118,735.042735042735,0.6034482758620712,1.2068965517241423,3.620689655172413,2.279693486590041,2.216890595009602,3.963531669865645,2.7543186180422268,,7.20554272517321,12.609699769053115,12.88683602771362,,11.362586605080836,10.11547344110854
800.0,,,,,,,,,,,,,,,,,,,10.946882217090064,,
900.0,482.051282051282,519.6581196581196,,649.5726495726497,,547.0085470085469,,0.7375478927203076,0.5363984674329529,,1.94444444444445,,4.030710172744726,,11.362586605080836,8.868360277136254,,,,13.02540415704388,
1000.0,,,,,,523.0769230769231,577.7777777777778,,,,,,,,,,,,14.549653579676672,,8.59122401847575
1200.0,437.6068376068374,526.4957264957263,396.5811965811963,618.8034188034187,,,,1.0727969348658988,1.139846743295017,1.0727969348658988,1.7432950191570882,1.1420345489443378,1.8138195777351245,1.4779270633397346,16.62817551963048,13.856812933025402,10.11547344110854,,24.665127020785214,15.103926096997682,
1300.0,150.42735042735012,235.8974358974356,420.51282051282055,509.4017094017093,451.28205128205127,434.1880341880342,464.9572649572649,26.01532567049809,2.816091954022987,,1.0057471264367877,0.0671785028790807,3.090211132437624,0.0671785028790807,62.35565819861432,29.099307159353344,23.27944572748268,21.89376443418013,,23.418013856812927,14.549653579676672
