Tables Material Fluence__1,Fluence (n/cm2) e22,Temperature [C],Test Temperature [C],Strain Rate,Yield Strength [ksi],UTS [ksi],Total Elongation [%],Uniform Elongation [%]
TZM,0.4,371,427,3.00E-04,134.8,134.8,6.8,0.3
TZM,0.4,371,427,3.00E-04,115.4,115.4,8.4,0.6
TZM,0.4,371,538,3.00E-04,123.2,123.2,9,0.6
TZM,0.4,371,649,3.00E-04,106.1,106.1,7.8,0.4
TZM,0.4,371,232,3.00E-02,141.1,141.1,0,0
TZM,0.4,371,427,3.00E-02,120.3,120.3,8.3,0.6
TZM,0.9,388,871,3.00E-05,82.4,82.4,12.2,
TZM,0.9,388,232,3.00E-04,151.2,151.2,2.6,0.2
TZM,0.9,388,427,3.00E-04,135.47,135.4,7.6,0.3
TZM,0.9,388,649,3.00E-04,107.05,107,7.6,0.4
TZM,0.9,388,232,3.00E-02,132.7,132.7,5.2,0.1
TZM,0.9,388,427,3.00E-02,118.4,118.4,2,0.1
Tungsten,0.5,371,427,3.00E-04,164.2,164.2,6.8,0.9
Tungsten,0.5,371,427,3.00E-04,174,174,3.5,0.9
Tungsten,0.5,371,649,3.00E-04,118.7,118.7,6.4,0.4
Tungsten,0.5,371,760,3.00E-04,105.6,105.6,8.5,0.7
Tungsten,0.5,371,232,3.00E-03,221.9,221.9,0.5,0.1
Tungsten,0.5,371,427,3.00E-02,165.4,165.4,2,0.2
Tungsten,0.5,371,649,3.00E-02,135.4,135.4,8.8,0.8
Tungsten,0.9,382,871,3.00E-05,80.1,80.1,10.6,0.6
Tungsten,0.9,382,232,3.00E-04,197.6,197.6,0.8,0.5
Tungsten,0.9,382,427,3.00E-04,152.7,152.7,7.2,0.2
Tungsten,0.9,382,538,3.00E-04,136.6,136.6,7.2,0.8
Tungsten,0.9,382,649,3.00E-04,112.3,112.3,6.2,0.4
Tungsten,0.9,382,427,3.00E-02,178.7,178.7,3.8,0.3
Tungsten,0.9,382,649,3.00E-02,133.6,133.6,8.7,0.9
