Specimen a,Test Temperature [K],Brittle Fracture Strength [N/cm^2] e3,Yield Strength [N/cm^2] e3,Ultimate Tensile Strength [N/cm^2] e3,Reduction of Area,Total Elongation [%]
CT-55,422,45.8,NaN,NaN,0,0
CT-56,422,48.6,NaN,NaN,0,0
CT-60,422,47.9,NaN,NaN,0,0
CT-5,478,46.2,NaN,NaN,1,0
CT-6,478,45.5,NaN,NaN,1,0
CT-58,478,NaN,42,43.9,1,1
CT-7,533,NaN,32.5,45.8,--,9
CT-8,533,NaN,35.5,45.1,3,4
CT-9,533,NaN,33.3,44.8,6,5
CT-10,589,NaN,24.3,41.6,49,54
CT-11,589,NaN,27.4,42.4,33,50
CT-12,589,NaN,24.3,40.6,33,52
CT-13,644,NaN,15.5,37.8,68,63
CT-15,644,NaN,15.8,38,68,74
CT-59,644,NaN,15.4,38.6,68,64
100,756,NaN,NaN,34,83,71
101,756,NaN,10,35.3,82,68
102,867,NaN,8.4,29.8,72,72
103,867,NaN,NaN,28.9,88,59
104,978,NaN,9.1,27.8,87,62
105,978,NaN,8.3,27.9,87,71
106,1089,NaN,7.1,26.5,76,66
107,1089,NaN,6.3,26.2,81,67
