Temperature [K],Pure W (H) Plate,K-doped W (H) Plate,W-1%Re (H) Plate,K-doped W-3%Re (H) Plate,W-3%Re (H) Plate
296.15,175.39698492462313,167.79899497487438,147.65829145728645,113.16582914572864,110.63316582914574
373.15,176.84422110552765,161.4070351758794,142.23115577889448,114.4924623115578,110.51256281407036
473.15,160.321608040201,154.89447236180905,125.58793969849246,113.28643216080404,107.49748743718594
573.15,147.65829145728645,144.2814070351759,118.1105527638191,110.391959798995,105.0854271356784
673.15,141.6281407035176,137.76884422110555,118.47236180904524,110.87437185929647,106.89447236180904
773.15,137.76884422110555,136.08040201005025,117.74874371859298,111.59798994974877,107.49748743718594
873.15,132.7035175879397,131.6180904522613,116.30150753768844,111.47738693467338,107.1356783919598
973.15,127.39698492462313,128.36180904522615,116.42211055276384,110.87437185929647,106.41206030150757
1073.15,121.48743718592966,124.50251256281408,116.0603015075377,110.63316582914574,107.01507537688444
1273.15,120.40201005025126,123.77889447236184,116.18090452261308,112.08040201005026,110.2713567839196
1373.15,120.04020100502514,121.8492462311558,116.90452261306534,112.56281407035176,114.25125628140704
1173.15,,120.52261306532664,116.0603015075377,108.46231155778896,106.29145728643216
