Specimen,Temperature (F),Stress (psi),Rupture Time (hr),Area Reduction (%)
5W-12-01,1200,205000,0.6,87
5W-12-02,1200,200000,0.5,83
5W-12-03,1200,195999,0.9,99
5W-12-04,1200,190000,5,82
5W-12-05,1200,185000,5,79
5W-12-06,1200,185000,5.4,79
5W-12-07,1200,180000,9.6,84
5W-12-08,1200,175000,9.9,84
5W-12-09,1200,170000,11.1,78
5W-12-10,1200,165000,37.1,74
5W-12-11,1200,160000,49.2,76
5W-12-12,1200,155000,57.6,69
5W-12-13,1200,153000,76.5,66
5W-12-14,1200,150000,93.6,72
5W-12-15,1200,148000,168,87
5W-12-01,1500,200000,-,88
5W-15-02,1500,175000,-,87
5W-15-03,1500,175000,-,90
5W-15-04,1500,150000,0.6,85
5W-15-05,1500,150000,0.9,81
5W-15-06,1500,150000,1.1,86
5W-15-07,1500,145000,1.2,88
5W-15-08,1500,140000,1.8,87
5W-15-09,1500,140000,2.4,86
5W-15-10,1500,135000,3.4,85
5W-15-11,1500,130000,6.5,85
5W-15-12,1500,125000,16.1,84
5W-15-13,1500,120000,63.5,81
5W-15-14,1500,115000,192.5,89
5W-18-01,1800,150000,-,90
5W-18-02,1800,135000,0.1,95
5W-18-03,1800,125000,0.2,92
5W-18-04,1800,120000,0.24,90
5W-18-05,1800,115000,0.7,93
5W-18-06,1800,110000,3,93
5W-18-07,1800,110000,4,87
5W-18-08,1800,107000,7.1,90
5W-18-09,1800,105000,11,90
5W-18-10,1800,105000,19,86
5W-18-11,1800,100000,7.6,88
5W-18-12,1800,100000,20.5,79
5W-18-13,1800,97000,79.8,82
5W-16-14,1800,95000,95.9,77
5W-16-15,1800,90000,224.7,70
5W-20-01,2000,100000,0.37,90
5W-20-02,2000,95000,0.66,90
5W-20-03,2000,90000,0.8,60
5W-20-04,2000,85000,2.2,63
5W-20-05,2000,80000,2,48
5W-20-06,2000,80000,2.6,64
5W-20-07,2000,80000,2.7,56
5W-20-08,2000,75000,3.2,48
5W-20-09,2000,75000,7.5,59
5W-20-10,2000,75000,7.7,59
5W-20-11,2000,72000,9.7,44
5W-20-12,2000,72000,9.8,41
5W-20-13,2000,72000,15.6,12
5W-20-14,2000,70000,15.1,12
5W-20-15,2000,70000,17.1,-
5W-20-16,2000,70000,22.8,23
5W-20-17,2000,65000,69.5,-
5W-20-18,2000,60000,146.8,19
5W-23-01,2300,63000,1,24
5W-23-02,2300,60000,1.5,34
5W-23-03,2300,55000,4.5,54
5W-23-04,2300,50000,7.8,45
5W-23-05,2300,50000,10.8,19
5W-23-06,2300,45000,11.1,36
5W-23-07,2300,45000,24.4,27
5W-23-08,2300,40000,76.4,15
5W-23-09,2300,38000,107,29
5W-25-01,2500,50000,0.8,28
5W-25-02,2500,45000,2,50
5W-25-03,2500,42000,2.5,42
5W-25-04,2500,40000,5.2,50
5W-25-05,2500,40000,6.6,45
5W-25-06,2500,37000,6.6,52
5W-25-07,2500,35000,13.2,44
5W-25-08,2500,35000,16.6,54
5W-25-09,2500,30000,24.9,27
5W-25-10,2500,30000,38.1,23
5W-25-11,2500,25000,116.8,33
5W-25-12,2500,25000,162.4,28
