Test Number,Gage Length,Orientation,Stress (psi),1% Time (hr),2% Time (hr),5% Time (hr),10% Time (hr),Rupture Time (hr),Rupture Strain (%),Minimum Creep Rate (%/hr)
3295,12,T,"11,000",0.03,0.10,"0,34",0.80,2.0,59.4,10.9
3356,112,T,"11,000",0.05,0.08.,0.6,1.6,4.85,50.0,5.2
3364,11/2,T,"11,000",0.02,0.06,0.25,0.60,1.6,56.2,14.0
3296,11/2,L,"10,000",0.04,0.10,0.4,1.25,4.25,50.0,6.2
"3834,",112,T,_,"10,000",0.04,0.08,0.22,0.6,1.5,62.5
3294,11/2,L,"8,000",0.2,0.5,2.5,5.8,16.1,43.7,15
3402,11/2,L,"7,000",0.6,1.5,5.3,12.2,25.7,35.4,0.77
3416,11/2,L,"7,000",0.4,1.4,5.4,15,28.35,33.3,0.63
3337.,«1,«1/2,L,"6,000",1.0,5.0,21,48,100.8,34.4
3350,1,Ye2,T,"6,000",2.0,8.0,31,69,133.3,31.2
3368,13/2,T,"6,000",1.0,4.5,16.5,35.5,65.5,29.2,0.25
3523,13/2,45°,"6,000",0.5,1.5,6.5,17,55.7,"54,7",0.32
3399,11/2,T,"4,000",35,75,170,300,568.9,39.3,0.033
2975,3,T,"4,000",0.16,0.32,0.65,0.94,"1,05",15.6,6.2
3004,3,L,"4,000",0.2,0.5,1.0,1.4,1.8,21.9,3.8
3272,11/2,T,"3,500",0.2,0.3,0.9,1.4,2.05,25.0,4.85
3057,3°,L,"2,800",2.6,4.1,4.8,5.4,6.3,21.9,0.38
3046,3,T,"2,000",3.5,4.3,5.4,7.2,11.65,20.2,0.20
3045,3,L,"2,000",8,11.5,13.6,18.0,32.5,29.1,0.14
3677,12,L,"1,500",2.5,6,18,37,42.1,16.6,0.20
3832,1V2,L,"1,400","1,0",8,45,o7,122.6,16.7,0.080
3833,11/2,T,"1,400",4.0,9,15,19,42.8,29.2,0.22
