Specimen No.,Atmosphere,Temperature (°C),Stress (psi),Rupture Time (hr),Elongation (%),Linear Creep Rate (min^-1)
8,H2,1600,13000,1.06,55,4.0 x 10^-3
6,H2,1600,12000,1.85,48,2.6 x 10^-3
1,H2,1600,11000,1.84,41,2.2 x 10^-3
2,H2,1600,11000,2.7,43,1.6 x 10^-3
3,H2,1600,10000,6.06,40,5.0 x 10^-4
19,H2,1600,10000,8.37,46,5.9 x 10^-4
7,H2,1600,10000,6,42,6.0 x 10^-4
4,H2,1600,9500,11.14,38,3.3 x 10^-4
28,Ar,2800,1500,0.154,26,
29,H2,2800,1200,2.15,14,
26,Ar,2800,1200,0.75,10,4.0 x 10^-4
25,H2,2800,1200,1.7,4.2,5.56 x 10^-4
27,H2,2800,1000,11,0,3.36 x 10^-5
7,H2,1600,8000,19.48,70,2.8 x 10^-4
11,H2,2000,3000,5.74,41,1.7 x 10^-4
8,H2,2000,3000,5.16,33,2.6 x 10^-4
31,H2,2200,2600,1.3,24,2.9 x 10^-3
32,Ar,2200,2600,0.99,30,4.0 x 10^-3
37,H2,2200,2400,2.15,26,1.2 x 10^-3
33,H2,2200,2200,4.18,20,5.6 x 10^-4
34,H2,2200,2000,6.27,30,5.2 x 10^-4
35,Ar,2200,2000,2.82,35,2.1 x 10^-4
36,H2,2200,1800,14.25,23,1.8 x 10^-4
38,Ar,2200,1800,9.31,14,7.9 x 10^-5
44,H2,2200,1600,33.83,25,8.5 x 10^-5
42,H2,2200,1300,189.5,21,1.3 x 10^-4
16,H2,2400,2500,0.43,32,8.7 x 10^-3
14,H2,2400,2100,0.94,26,3.4 x 10^-3
20,Ar,2400,2000,0.54,24,3.5 x 10^-3
13,H2,2400,1900,1.22,28,2.6 x 10^-3
11,H2,2400,1600,2.82,26,1.0 x 10^-3
8,Ar,2400,1600,1.56,18,1.3 x 10^-3
10,H2,2400,1600,2,16,9.8 x 10^-4
26,H2,2400,1500,3.42,16,3.9 x 10^-4
27,H2,2400,1500,3.84,18,4.3 x 10^-4
29,Ar,2400,1500,3.83,12,3.6 x 10^-4
27,Ar,2400,1500,5.26,14,2.4 x 10^-4
12,H2,2400,1400,6.08,21,4.4 x 10^-4
18,Ar,2400,1400,2.3,14,6.2 x 10^-4
15,H2,2400,1200,11.67,16,1.7 x 10^-5
24,H2,2400,1000,23.02,5,2.7 x 10^-5
21,H2,2400,958,37.5,10,3.0 x 10^-5
1,H2,2800,1200,0.42,22,5.3 x 10^-3
2,H2,2800,1200,0.65,28,4.4 x 10^-3
3,Ar,2800,1200,0.45,32,7.4 x 10^-3
4,H2,2800,1000,1.65,31,2.0 x 10^-3
5,Ar,2800,1000,1.65,22,
19,H2,2800,900,3.18,18,5.0 x 10^-4
20,H2,2800,900,2.65,20,5.8 x 10^-4
6,Ar,2800,800,7.61,16,
9,H2,2800,750,3.75,7,2.4 x 10^-5
10,H2,2800,550,62.25,10,1.7 x 10^-5
23,H2,2800,500,94.5,9,1.0 x 10^-5
68,H2,1600,10000,2.4,40,1.6 x 10^-3
76,H2,1600,10000,2.48,62,2.1 x 10^-3
64,H2,1600,8600,5.91,34,5.7 x 10^-4
75,H2,1600,8000,9.47,34,3.9 x 10^-4
70,H2,1600,7800,9.25,44,4.4 x 10^-4
73,H2,1600,6000,51.27,32,5.4 x 10^-5
71,H2,1600,5000,,,
79,H2,2000,3000,23.17,27,8.8 x 10^-5
21,H2,2200,3000,2.1,27,1.1 x 10^-3
60,H2,2200,3000,3.15,26,6.3 x 10^-4
56,Ar,2200,3000,1.14,64,6.7 x 10^-4
61,H2,2200,2905,1.3,39,
16,H2,2200,2500,4.18,44,2.1 x 10^-3
24,H2,2200,2500,4.94,22,3.8 x 10^-4
22,Ar,2200,2500,6.64,31,3.5 x 10^-4
18,H2,2200,2000,15.3,15,1.2 x 10^-4
10,H2,2200,1600,60.65,17,3.6 x 10^-5
25,H2,2200,1600,20.5,3.2,
