Strain,Stress
0,0
0.0002,4.8616
0.0002,4.8616
0.0004,9.7232
0.0004,9.7232
0.0006,14.5848
0.0006,14.5848
0.0006,14.5848
0.0008,19.4464
0.0008,19.4464
0.001,24.308
0.0012,29.1696
0.0012,29.1696
0.0014,34.0312
0.0014,34.0312
0.0016,38.8928
0.0016,38.8928
0.0018,43.7544
0.0018,43.7544
0.002,48.616
0.0022,53.4776
0.0022,53.4776
0.0024,58.3392
0.0024,58.3392
0.0026,63.2008
0.0026,63.2008
0.0028,68.0624
0.0028,68.0624
0.003,72.924
0.003,72.924
0.0032,77.7856
0.0032,77.7856
0.0034,82.6472
0.0036,87.5088
0.0036,87.5088
0.0038,92.3704
0.0038,92.3704
0.004,97.232
0.0042,102.0936
0.0042,102.0936
0.0042,102.0936
0.0044,106.9552
0.0044,106.9552
0.0046,111.8168
0.0048,116.6784
0.0048,116.6784
0.0048,116.6784
0.005,121.54
0.0052,126.4016
0.0052,126.4016
0.0054,131.2632
0.0054,131.2632
0.0056,136.1248
0.0056,136.1248
0.0058,140.9864
0.0058,140.9864
0.006,145.848
0.006,145.848
0.0062,150.7096
0.0064,155.5712
0.0064,155.5712
0.0064,155.5712
0.0066,160.4328
0.0066,160.4328
0.0068,165.2944
0.0068,165.2944
0.007,170.156
0.007,170.156
0.0072,175.0176
0.0074,179.8792
0.0074,179.8792
0.0074,179.8792
0.0076,184.7408
0.0078,189.6024
0.0078,189.6024
0.0078,189.6024
0.008,194.464
0.008,194.464
0.0082,199.3256
0.0084,204.1872
0.0084,204.1872
0.0084,204.1872
0.0086,209.0488
0.0088,213.9104
0.0088,213.9104
0.0088,213.9104
0.009,218.772
0.0092,223.6336
0.0092,223.6336
0.0094,228.4952
0.0094,228.4952
0.0094,228.4952
0.0096,233.3568
0.0098,238.1132424
0.0098,240.1297272
0.0098,241.6420908
0.01,243.8266159
0.0102,246.0111411
0.0102,248.1956662
0.0104,250.5482318
0.0104,251.892555
0.0106,254.2451205
0.0106,256.5976861
0.0108,259.4543728
0.0108,262.1430192
0.011,262.6471404
0.011,264.9997059
0.0112,267.1842311
0.0112,269.3687562
0.0114,271.8893622
0.0114,273.2336854
0.0116,275.9223317
0.0116,277.9388165
0.0118,280.291382
0.0118,282.811988
0.012,284.8284728
0.012,287.1810383
0.0122,289.7016443
0.0122,292.2222502
0.0124,295.078937
0.0124,296.5913005
0.0126,299.1119065
0.0126,301.8005529
0.0128,305.3294012
0.0128,307.8500071
0.013,308.6902091
0.013,311.7149363
0.0132,314.2355422
0.0132,317.2602694
0.0134,320.6210773
0.0134,321.9654005
0.0136,324.8220872
0.0136,328.518976
0.0138,331.2076223
0.014,333.8962687
0.014,335.5766726
0.014,338.0972786
0.0142,341.1220057
0.0142,344.1467329
0.0144,347.0034196
0.0144,348.6838236
0.0146,351.8765911
0.0148,354.5652375
0.0148,357.4219242
0.015,360.9507726
0.015,361.7909746
0.015,364.4796209
0.0152,367.1682673
0.0152,369.8569136
0.0154,372.8816407
0.0154,374.5620447
0.0156,377.4187315
0.0156,380.4434586
0.0158,383.132105
0.016,385.8207513
0.016,388.3413573
0.0162,391.3660844
0.0162,394.0547308
0.0164,397.2474983
0.0164,400.2722254
0.0166,401.2804678
0.0166,404.305195
0.0168,407.3299221
0.0168,410.5226897
0.017,414.051538
0.0172,417.5803863
0.0172,420.1009923
0.0174,423.1257194
0.0174,425.8143658
0.0174,426.6545678
0.0176,429.5112545
0.0178,432.5359816
0.0178,435.3926684
0.018,438.4173955
0.018,439.9297591
0.0182,443.1225267
0.0182,446.1472538
0.0184,449.6761021
0.0184,452.3647485
0.0186,453.3729909
0.0186,457.0698796
0.0188,460.2626471
0.019,463.4554147
0.019,466.4801418
0.0192,469.1687882
0.0192,472.0254749
0.0194,474.3780405
0.0194,477.2347272
0.0196,479.5872928
0.0196,482.2759391
0.0198,484.6285047
0.02,487.6532318
0.02,490.5099186
0.02,492.0222822
0.0202,494.8789689
0.0204,497.5676153
0.0204,500.9284232
0.0206,503.4490291
0.0206,504.4572715
0.0208,507.6500391
0.0208,510.3386854
0.021,513.531453
0.0212,516.3881397
0.0212,519.5809073
0.0214,522.437594
0.0216,525.1262403
0.0216,527.8148867
0.0216,528.3190079
0.0218,531.0076542
0.0218,533.3602198
0.022,536.5529873
0.0222,538.9055529
0.0222,539.7457549
0.0222,542.2663608
0.0224,544.7869668
0.0226,547.1395323
0.0226,549.9962191
0.0226,550.6683807
0.0228,553.1889866
0.023,556.0456734
0.023,558.3982389
0.0232,560.7508045
0.0232,561.2549257
0.0232,563.7755316
0.0234,566.2961376
0.0236,568.4806628
0.0236,571.3373495
0.0236,571.8414707
0.0238,574.3620766
0.024,576.8826826
0.024,579.2352482
0.0242,581.4197733
0.0242,582.0919349
0.0242,584.2764601
0.0244,587.1331468
0.0246,589.6537528
0.0246,592.1743587
0.0248,594.3588839
0.025,596.2073282
0.025,598.3918534
0.0252,600.4083382
0.0252,601.5846209
0.0254,603.7691461
0.0254,606.1217117
0.0256,608.1381964
0.0256,610.490762
0.0258,611.330964
0.0258,613.6835295
0.026,616.0360951
0.0262,618.2206202
0.0262,620.237105
0.0264,622.0855494
0.0264,623.9339937
0.0266,625.9504785
0.0266,627.9669633
0.0268,628.9752056
0.0268,630.82365
0.027,632.504054
0.027,634.1844579
0.0272,636.0329023
0.0272,637.5452659
0.0274,639.5617506
0.0276,641.410195
0.0276,643.090599
0.0278,644.7710029
0.0278,645.4431645
0.0278,647.2916089
0.028,648.9720129
0.0282,650.8204572
0.0282,652.5008612
0.0282,653.3410632
0.0284,654.8534268
0.0284,656.5338307
0.0286,658.0461943
0.0288,659.7265983
0.0288,660.7348407
0.0288,662.2472042
0.029,663.9276082
0.0292,665.944093
0.0292,667.4564565
0.0294,667.7925373
0.0294,669.3049009
0.0296,670.8172645
0.0296,671.9935472
0.0298,673.5059108
0.0298,674.5141532
0.03,676.1945572
0.03,677.7069207
0.0302,679.3873247
0.0304,680.5636075
0.0304,681.9079307
0.0306,683.5883346
0.0306,684.9326578
0.0308,686.276981
0.0308,686.6130618
0.031,687.957385
0.031,689.3017081
0.0312,690.6460313
0.0314,691.8223141
0.0314,692.1583949
0.0314,693.5027181
0.0316,694.6790008
0.0318,696.1913644
0.0318,697.1996068
0.0318,697.3676472
0.032,698.54393
0.032,699.5521723
0.0322,700.5604147
0.0324,701.9047379
0.0324,702.4088591
0.0324,703.2490611
0.0326,704.0892631
0.0326,705.2655458
0.0328,706.2737882
0.0328,706.7779094
0.033,707.9541922
0.0332,708.7943942
0.0332,709.6345962
0.0334,710.4747981
0.0334,710.9789193
0.0336,711.9871617
0.0336,712.9954041
0.0338,713.6675657
0.0338,714.5077677
0.0338,714.8438485
0.034,715.6840504
0.0342,716.5242524
0.0342,717.196414
0.0344,717.8685756
0.0344,718.3726968
0.0344,718.876818
0.0346,719.71702
0.0348,720.557222
0.0348,721.3974239
0.035,721.5654643
0.035,722.2376259
0.0352,723.0778279
0.0352,723.7499895
0.0354,724.2541107
0.0354,724.5901915
0.0356,725.4303935
0.0356,725.9345147
0.0358,726.4386358
0.036,727.1107974
0.036,727.782959
0.0362,728.2870802
0.0362,728.9592418
0.0364,729.463363
0.0364,729.6314034
0.0366,730.1355246
0.0366,730.8076862
0.0368,731.143767
0.037,731.6478882
0.037,731.8159285
0.037,732.1520093
0.0372,732.6561305
0.0374,732.9922113
0.0374,733.6643729
0.0374,733.6643729
0.0376,734.1684941
0.0378,734.6726153
0.0378,735.0086961
0.038,735.3447769
0.038,735.5128173
0.038,735.8488981
0.0382,736.3530193
0.0384,736.5210597
0.0384,736.8571405
0.0386,737.1932213
0.0388,737.6973424
0.0388,738.0334232
0.039,738.369504
0.0392,738.7055848
0.0392,739.0416656
0.0394,739.3777464
0.0394,739.7138272
0.0396,739.8818676
0.0398,740.2179484
0.0398,740.3859888
0.04,740.5540292
0.04,740.5540292
0.0402,741.0581504
0.0402,741.2261908
0.0404,741.5622716
