Strain,Stress
0,0
0.0002,3.6442
0.0002,3.6442
0.0004,7.2884
0.0004,7.2884
0.0006,10.9326
0.0006,10.9326
0.0008,14.5768
0.0008,14.5768
0.001,18.221
0.001,18.221
0.0012,21.8652
0.0012,21.8652
0.0014,25.5094
0.0014,25.5094
0.0016,29.1536
0.0016,29.1536
0.0018,32.7978
0.0018,32.7978
0.002,36.442
0.002,36.442
0.0022,40.0862
0.0024,43.7304
0.0024,43.7304
0.0024,43.7304
0.0026,47.3746
0.0026,47.3746
0.0028,51.0188
0.0028,51.0188
0.003,54.663
0.0032,58.3072
0.0032,58.3072
0.0034,61.9514
0.0034,61.9514
0.0036,65.5956
0.0036,65.5956
0.0038,69.2398
0.0038,69.2398
0.0038,69.2398
0.004,72.884
0.0042,76.5282
0.0042,76.5282
0.0044,80.1724
0.0044,80.1724
0.0046,83.8166
0.0046,83.8166
0.0048,87.4608
0.0048,87.4608
0.005,91.105
0.005,91.105
0.0052,94.7492
0.0054,98.3934
0.0054,98.3934
0.0054,98.3934
0.0056,102.0376
0.0058,105.6818
0.0058,105.6818
0.006,109.326
0.006,109.326
0.006,109.326
0.0062,112.9702
0.0064,116.6144
0.0064,116.6144
0.0064,116.6144
0.0066,120.2586
0.0068,123.9028
0.0068,123.9028
0.007,127.547
0.007,127.547
0.0072,131.1912
0.0072,131.1912
0.0074,134.8354
0.0076,138.4796
0.0076,138.4796
0.0078,142.1238
0.0078,142.1238
0.008,145.768
0.008,145.768
0.0082,149.4122
0.0082,149.4122
0.0084,153.0564
0.0086,156.7006
0.0086,156.7006
0.0088,160.3448
0.009,163.989
0.009,163.989
0.009,163.989
0.0092,167.6332
0.0092,167.6332
0.0094,171.2774
0.0096,174.9216
0.0096,174.9216
0.0096,174.9216
0.0098,178.5658
0.01,182.21
0.01,182.21
0.01,182.21
0.0102,185.8542
0.0102,185.8542
0.0104,189.4984
0.0106,193.1426
0.0106,193.1426
0.0106,193.1426
0.0108,196.7868
0.011,200.431
0.011,200.431
0.011,200.431
0.0112,204.0752
0.0114,207.7194
0.0114,207.7194
0.0116,211.3636
0.0116,211.3636
0.0118,215.9980511
0.0118,217.665407
0.012,220.1494746
0.0122,221.7998644
0.0122,223.8006914
0.0124,226.1180235
0.0124,227.6186438
0.0126,229.7692403
0.0126,230.1027115
0.0128,231.7531012
0.0128,233.4204571
0.013,235.0708468
0.013,237.0716738
0.0132,238.555328
0.0134,240.8726601
0.0134,242.8734871
0.0136,244.6906125
0.0136,246.3579683
0.0136,247.3583818
0.0138,249.5089783
0.014,251.6595748
0.014,253.6604019
0.0142,255.6442628
0.0142,256.8114119
0.0144,258.2950661
0.0144,260.7960998
0.0146,263.1134319
0.0146,265.1142589
0.0146,265.4477301
0.0148,267.9317978
0.015,269.7489231
0.015,271.9164857
0.0152,274.0670822
0.0152,275.4009669
0.0154,277.3848278
0.0154,279.0521837
0.0156,281.2027802
0.0156,283.3703428
0.0158,284.6872614
0.0158,287.0215596
0.016,288.6719493
0.0162,290.9892814
0.0162,293.156844
0.0162,294.3239931
0.0164,296.4745896
0.0166,298.6251861
0.0166,300.4592776
0.0168,302.6098741
0.0168,304.1104943
0.017,305.5941485
0.017,308.2619179
0.0172,310.2457788
0.0172,312.0798702
0.0172,313.2470193
0.0174,315.5643514
0.0176,317.8816835
0.0176,320.2159817
0.0178,322.3665782
0.0178,322.7000494
0.018,325.3508526
0.018,327.3516796
0.0182,329.6690117
0.0182,331.6698387
0.0184,333.1534929
0.0184,335.1543199
0.0186,337.3049164
0.0186,339.472479
0.0188,341.6230755
0.0188,342.6234891
0.019,344.60735
0.019,346.7749126
0.0192,349.0922447
0.0192,350.9263361
0.0194,352.0765191
0.0194,354.4108173
0.0196,356.7281494
0.0196,358.3955052
0.0198,360.7128373
0.0198,361.5465152
0.02,364.0305829
0.02,366.1981455
0.0202,368.1820065
0.0204,370.332603
0.0204,371.1662809
0.0204,373.3338435
0.0206,375.3177044
0.0208,377.6350365
0.0208,379.6358635
0.0208,380.636277
0.021,382.620138
0.021,384.2874938
0.0212,386.1046191
0.0212,388.2721817
0.0214,389.5891003
0.0214,391.9233985
0.0216,393.5737883
0.0218,395.8911204
0.0218,398.058683
0.022,399.5423371
0.022,401.7098997
0.0222,403.8604963
0.0222,406.0280588
0.0224,408.3453909
0.0224,409.0123333
0.0226,410.8294586
0.0226,412.9970212
0.0228,415.1476177
0.0228,416.9817092
0.023,418.6320989
0.023,420.6329259
0.0232,423.1169936
0.0232,425.1178206
0.0234,427.1016816
0.0234,428.1020951
0.0236,430.4194272
0.0238,432.7367593
0.0238,434.5708507
0.024,437.0549184
0.024,437.8885963
0.0242,439.7057216
0.0242,442.2067554
0.0244,444.3573519
0.0244,446.6916501
0.0246,448.8422466
0.0248,450.9928431
0.0248,452.8269345
0.025,455.4777378
0.025,455.6444734
0.025,457.6453004
0.0252,459.6291613
0.0254,461.4462867
0.0254,463.1136425
0.0254,464.114056
0.0256,466.5981237
0.0258,468.5819846
0.0258,470.2493405
0.026,472.2332014
0.026,472.7334082
0.026,474.7342352
0.0262,476.2178894
0.0264,478.701957
0.0264,480.2025773
0.0266,481.1860247
0.0266,483.1868517
0.0268,485.5041838
0.0268,487.1715397
0.027,489.1554006
0.0272,491.1392615
0.0272,492.6398818
0.0274,494.4570071
0.0274,496.124363
0.0276,497.6080172
0.0276,499.275373
0.0278,501.5927051
0.0278,502.9265898
0.028,504.9104507
0.028,505.0771863
0.0282,506.7275761
0.0282,509.0618742
0.0284,510.3787928
0.0286,512.5293893
0.0286,512.6961249
0.0286,514.3634808
0.0288,515.6803994
0.0288,517.3477552
0.029,519.1648805
0.029,520.3320296
0.0292,521.9824194
0.0292,523.6497752
0.0294,524.9666938
0.0296,526.6170836
0.0296,527.4507615
0.0296,528.7846462
0.0298,530.1015648
0.0298,531.4354495
0.03,533.0858392
0.03,534.2529883
0.0302,535.9033781
0.0304,537.3870323
0.0304,538.5541813
0.0306,540.3713067
0.0306,540.3713067
0.0308,542.188432
0.0308,543.6890523
0.031,545.3394421
0.031,546.3398556
0.031,546.8400623
0.0312,547.9902453
0.0314,549.4738995
0.0314,550.8077842
0.0316,552.2914384
0.0316,552.7916451
0.0318,554.1085637
0.0318,555.4424484
0.032,556.759367
0.032,557.9265161
0.0322,558.4097567
0.0322,559.7436414
0.0324,560.8938244
0.0324,561.8942379
0.0326,563.2111565
0.0326,563.7113633
0.0328,565.1950174
0.0328,565.8619598
0.033,567.1788784
0.033,568.1792919
0.0332,568.8292681
0.0332,569.9964172
0.0334,570.9798647
0.0334,571.9802782
0.0336,573.2971968
0.0336,573.6306679
0.0338,574.2806442
0.0338,575.7812644
0.034,576.5979763
0.0342,577.5814237
0.0342,578.0816305
0.0342,579.2487796
0.0344,579.8987558
0.0346,580.8822032
0.0346,581.5491456
0.0346,582.0493523
0.0348,583.3662709
0.035,584.1829828
0.035,585.0166607
0.0352,585.6666369
0.0352,586.1668437
0.0352,586.833786
0.0354,587.8172335
0.0356,588.3004741
0.0356,589.3008876
0.0356,589.8010944
0.0358,590.2843351
0.036,591.2677825
0.036,591.7679892
0.0362,592.9181723
0.0362,593.2516434
0.0364,594.2350909
0.0366,595.0518027
0.0366,595.8854806
0.0368,596.2019857
0.037,597.1854331
0.037,597.5189043
0.0372,598.1688806
0.0372,598.6690873
0.0372,599.0025585
0.0374,599.8192703
0.0376,600.302511
0.0376,600.8027178
0.0376,600.9694533
0.0378,601.452694
0.038,602.1026703
0.038,602.7696126
0.0382,603.4195889
0.0382,603.2528533
0.0384,603.9028295
0.0384,604.4030363
0.0386,604.7195414
0.0386,604.886277
0.0388,605.5362532
0.0388,606.2031956
0.039,606.0194939
0.039,606.5197007
0.0392,607.0029413
0.0392,607.5031481
0.0394,607.486182
0.0394,608.3198599
0.0396,608.8031006
0.0396,609.1365718
0.0398,609.2863413
0.0398,609.2863413
0.04,609.769582
0.04,610.2697887
0.0402,610.5862938
0.0402,610.4195582
0.0404,610.9027989
0.0404,611.0695345
0.0406,611.3860396
0.0406,611.5527751
0.0408,611.8692802
0.0408,612.2027514
0.041,612.5192565
0.041,612.8527277
0.0412,613.0024972
0.0412,613.3359683
0.0414,613.1522667
0.0416,613.8022429
0.0416,613.9689785
0.0418,614.118748
0.0418,614.118748
0.0418,614.2854836
0.042,614.6019887
0.0422,614.9184938
0.0422,615.0852294
0.0422,615.251965
0.0424,615.2349989
0.0426,615.551504
0.0426,615.7182396
0.0428,615.8680091
0.0428,616.0347447
0.0428,616.3682158
0.043,616.1845142
0.0432,616.5010193
0.0432,616.5010193
0.0432,616.6677548
0.0434,616.6507888
0.0436,616.8005583
0.0436,616.9672938
0.0438,617.1170634
0.0438,617.4505345
0.044,617.2668329
0.044,617.4335684
0.0442,617.583338
0.0442,617.7500735
