Strain,Stress
0,10.92267218
0,10.74650005
0,11.09884431
0,11.45118857
0.0002,11.26630908
0.0002,11.44248122
0.0004,11.60994599
0.0004,11.78611812
0.0004,11.78611812
0.0006,0
0.0008,12.2972198
0.0008,12.8257362
0.0008,13.00190833
0.001,13.1693731
0.001,13.6978895
0.0012,14.21769854
0.0014,14.56133544
0.0014,14.91367971
0.0014,15.4421961
0.0016,15.96200514
0.0018,16.48181418
0.0018,17.36267484
0.0018,17.7150191
0.002,18.76334453
0.002,19.82037732
0.0022,21.22104702
0.0024,22.97406098
0.0024,23.50257738
0.0024,25.08812657
0.0026,26.66496839
0.0028,28.24181022
0.0028,29.65118728
0.0028,30.17970367
0.003,31.58037337
0.0032,33.6857316
0.0032,35.44745292
0.0034,36.49577835
0.0034,37.72898327
0.0034,38.9621882
0.0036,40.53903002
0.0038,41.58735546
0.0038,42.82056038
0.004,43.16419729
0.004,44.04505795
0.0042,44.74103912
0.0042,44.74103912
0.0044,44.90850389
0.0044,45.08467602
0.0046,45.07596866
0.0046,45.07596866
0.0048,45.24343344
0.005,44.88238181
0.005,44.88238181
0.0052,44.16898593
0.0052,44.69750232
0.0054,44.51262283
0.0054,44.68879497
0.0056,44.50391548
0.0058,44.49520812
0.0058,44.67138025
0.006,44.83884502
0.006,44.83884502
0.006,44.83884502
0.0062,44.83013767
0.0064,44.64525818
0.0064,44.82143031
0.0064,44.64525818
0.0066,44.63655082
0.0066,44.63655082
0.0068,44.27549919
0.007,43.91444757
0.007,43.91444757
0.007,43.73827544
0.0072,43.72956808
0.0074,43.72086072
0.0074,43.36851646
0.0076,43.8883255
0.0078,44.2319624
0.0078,44.93665093
0.008,45.80880423
0.008,46.1611485
0.0082,47.91416246
0.0082,49.14736738
0.0084,50.72420921
0.0084,52.48593053
0.0086,53.1819117
0.0086,55.47214941
0.0088,57.22516337
0.0088,59.16305683
0.009,61.09224292
0.009,61.97310358
0.0092,63.90228967
0.0094,66.18382003
0.0094,67.94554135
0.0096,70.05089957
0.0096,71.98879302
0.0098,74.27032338
0.01,76.19950947
0.01,78.48974719
0.01,79.37060785
0.0102,81.47596607
0.0104,83.40515216
0.0104,85.16687348
0.0106,87.09605958
0.0106,88.68160876
0.0108,91.31548338
0.0108,93.6057211
0.011,95.71107932
0.011,98.00131704
0.0112,98.69729821
0.0112,100.6351917
0.0114,102.3882056
0.0114,104.8546155
0.0116,106.9599737
0.0116,108.721695
0.0118,111.1793975
0.0118,113.4696352
0.012,116.1035098
0.0122,118.9135566
0.0122,121.5561386
0.0124,123.8376689
0.0124,125.9517345
0.0126,128.2332649
0.0126,129.6426419
0.0128,131.7480001
0.0128,134.5667543
0.013,136.4959403
0.0132,138.9536428
0.0132,139.8345035
0.0132,142.3009133
0.0134,144.5824437
0.0136,147.2163183
0.0136,149.6827282
0.0136,150.5635888
0.0138,152.668947
0.014,155.4789938
0.014,157.9454036
0.0142,160.226934
0.0142,160.7554504
0.0142,163.3980324
0.0144,165.5033906
0.0146,167.9610931
0.0146,170.4275029
0.0146,171.6607079
0.0148,174.1184104
0.015,176.5761128
0.015,178.8663506
0.0152,180.7955366
0.0152,183.0857744
0.0154,185.3673047
0.0154,187.6575424
0.0156,190.1152449
0.0158,192.2206031
0.0158,193.2776359
0.0158,195.5678737
0.016,197.849404
0.016,200.3158139
0.0162,202.5973442
0.0162,203.8305491
0.0164,206.2882516
0.0164,208.4023172
0.0166,210.8600197
0.0166,212.9740853
0.0168,214.374755
0.0168,217.017337
0.017,219.2988673
0.017,221.2367608
0.0172,223.6944633
0.0172,225.1038403
0.0174,227.3853707
0.0174,229.8517805
0.0176,232.1333109
0.0178,235.1195298
0.0178,236.3527347
0.0178,238.6429724
0.018,241.9815355
0.0182,244.439238
0.0182,247.2579921
0.0184,249.8918668
0.0186,252.8780856
0.0186,255.6968398
0.0188,257.9783701
0.0188,258.6830586
0.0188,261.6779849
0.019,264.3118595
0.0192,267.2980784
0.0192,270.1168325
0.0194,270.9889858
0.0194,273.8077399
0.0196,276.2654424
0.0196,278.9080244
0.0198,281.8942433
0.0198,283.6559646
0.02,286.4660113
0.02,289.1085933
0.0202,291.7424679
0.0202,294.0327056
0.0204,295.7857196
0.0204,298.6044737
0.0206,301.9430369
0.0208,304.4007394
0.0208,306.6909771
0.0208,307.3956656
0.021,310.2057124
0.021,312.6721222
0.0212,315.6583411
0.0214,318.2922157
0.0214,319.1730764
0.0214,322.3441747
0.0216,325.3303936
0.0218,328.4927846
0.0218,331.1353666
0.022,333.9454134
0.022,336.5879953
0.0222,339.22187
0.0224,342.2080889
0.0224,343.793638
0.0226,347.3083733
0.0226,349.9509553
0.0228,352.5848299
0.0228,355.403584
0.0228,356.4606168
0.023,359.0944914
0.0232,361.9045382
0.0232,364.8994644
0.0234,367.7095112
0.0234,369.8235768
0.0236,372.9859678
0.0236,376.5094104
0.0238,379.3194572
0.0238,381.6096949
0.024,383.0103646
0.024,386.181463
0.0242,388.6391655
0.0242,391.8102638
0.0244,394.4441384
0.0244,395.5011712
0.0246,398.6635623
0.0246,401.3061442
0.0248,403.9400189
0.025,406.9262377
0.025,408.6879591
0.025,411.1543689
0.0252,413.9644157
0.0254,416.7744624
0.0254,419.2408723
0.0254,421.0025936
0.0256,424.1649846
0.0258,427.1512035
0.0258,430.1461297
0.026,433.1323486
0.026,435.5987585
