Time Step,p-in,t-out,t-cs-avg,t-cs-max,t-max,t-pb-max,htc-cs-avg,t-endcap-max,t-inner-tube-max,flow-time,courant-max
0,10188532.25855295,929.3770741605036,1232.681912592316,1335.809936523438,1943.38525390625,1391.3203125,-21414.12322735434,1384.323120117188,936.4607543945312,0.0,6737.338948336493
1,10188368.28839284,929.383676989222,1232.681882445703,1335.846801757812,1943.806884765625,1391.128540039062,-21421.67347016022,1384.167114257812,936.4591674804688,7.5e-05,6832.297589107267
2,10188587.46501898,929.3828348534564,1232.681688522254,1335.869262695312,1943.852294921875,1391.080444335938,-21423.37578859808,1384.11572265625,936.4583129882812,0.00015,6923.294208314437
3,10189184.18596522,929.3819425551072,1232.681364631172,1335.908325195312,1943.897094726562,1391.043212890625,-21425.25735288745,1384.07763671875,936.4579467773438,0.000225,6932.2108790872
4,10190103.86782042,929.3803800124936,1232.680223508324,1336.0068359375,1943.920166015625,1391.02392578125,-21430.39654341452,1384.05712890625,936.4564208984376,0.0002625,3481.985585990232
5,10190870.28198037,929.3789471654912,1232.677827969356,1336.094116210938,1943.943115234375,1391.006469726562,-21440.82809676416,1384.038208007812,936.4519653320312,0.0003,3489.915605248509
6,10190870.28198037,929.4868266846788,1232.648065885256,1335.088989257812,1944.313110351562,1390.799438476562,-21463.6430329706,1383.838623046875,935.3369750976562,0.0009,55853.43670706235
7,10190870.28198037,929.560293204158,1232.621658109718,1334.75,1944.700317382812,1390.572509765625,-21465.30352399677,1383.685913085938,934.7692260742188,0.0015,55853.61491171455
8,10190870.28198037,929.581381728289,1232.59123706179,1334.42041015625,1945.0986328125,1390.307983398438,-21465.78368438074,1383.557861328125,934.3844604492188,0.0021,55854.26833850169
9,10190870.28198037,929.578451369296,1232.556537390997,1334.08056640625,1945.520751953125,1390.012817382812,-21466.13308032499,1383.445190429688,934.5399169921876,0.0027,55854.90197907812
10,10190870.28198037,929.5735749069246,1232.518424640997,1333.74951171875,1945.9638671875,1389.707885742188,-21466.50066961042,1383.343383789062,934.7651977539062,0.0033,55855.50593113432
11,10190870.28198037,929.5732390468168,1232.477848550401,1333.434448242188,1946.436767578125,1389.408203125,-21466.70472982321,1383.249877929688,934.9440307617188,0.0039,55856.06534100162
12,10190870.28198037,929.5717819169372,1232.435622863726,1333.165893554688,1946.924194335938,1389.135620117188,-21467.02457037157,1383.162841796875,935.0897216796876,0.0045,55856.64456479555
13,10190870.28198037,929.5712508378484,1232.392364155063,1332.908569335938,1947.429443359375,1388.887939453125,-21467.3441847485,1383.080810546875,935.2114868164062,0.0050999999999999,55857.20894825237
14,10190870.28198037,929.5899115836118,1232.34853174397,1332.662963867188,1947.952026367188,1388.658813476562,-21467.64636083393,1383.003173828125,935.315185546875,0.0056999999999999,55857.76344135198
15,10190870.28198037,929.822485408148,1232.304462156894,1332.428955078125,1948.49169921875,1388.43994140625,-21467.93897464728,1382.928955078125,935.4049682617188,0.0062999999999999,55858.30804350496
