nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,     temperature
         1,-3.970553000E-09, 3.900000014E-02, 4.696600039E-02, 1.263260499E+03
         2,-3.970553000E-09, 3.906818195E-02, 4.696600039E-02, 1.275680134E+03
         3,-3.970553000E-09, 3.913636377E-02, 4.696600039E-02, 1.287550503E+03
         4,-3.970553000E-09, 3.920454559E-02, 4.696600039E-02, 1.298888295E+03
         5,-3.970552997E-09, 3.927272741E-02, 4.696600039E-02, 1.309774178E+03
         6,-3.970552997E-09, 3.934090923E-02, 4.696600039E-02, 1.320275681E+03
         7,-3.970553000E-09, 3.940909104E-02, 4.696600039E-02, 1.330444737E+03
         8,-3.970553000E-09, 3.947727286E-02, 4.696600039E-02, 1.340322314E+03
         9,-3.970552998E-09, 3.954545468E-02, 4.696600039E-02, 1.349941233E+03
        10,-3.970553000E-09, 3.961363650E-02, 4.696600039E-02, 1.359328920E+03
        11,-3.970553000E-09, 3.968181832E-02, 4.696600039E-02, 1.368508563E+03
        12,-3.970553000E-09, 3.975000014E-02, 4.696600039E-02, 1.377470105E+03
